epoch,train_loss,val_loss,train_dice,val_dice,val_macro_f1,val_rare_class_recall
1,1.6715219904394711,1.2307727336883545,0.0394098162651062,0.05638070032000542,0.05638079345226288,0.26600703597068787
2,1.1082508048590491,1.041194655956366,0.09126982092857361,0.13629136979579926,0.1362917274236679,0.001494747237302363
3,1.0160856800920823,1.170928310125302,0.14798220992088318,0.041351888328790665,0.041352055966854095,0.312703400850296
4,0.9685340523719788,0.9462094276379316,0.18187235295772552,0.2879367470741272,0.287936806678772,0.15331076085567474
5,0.9448146322194267,0.8728318520081348,0.20692715048789978,0.336692214012146,0.33669233322143555,0.2299862504005432
6,0.9271406682098613,0.8629571000734965,0.22319740056991577,0.344402551651001,0.34440264105796814,0.30175095796585083
7,0.8954117585630977,0.8694788202261313,0.24612082540988922,0.348175585269928,0.34817564487457275,0.30287060141563416
8,0.8834561807267806,0.897679987626198,0.2512384355068207,0.3494347333908081,0.3494347929954529,0.3082359731197357
9,0.8684156165403478,0.886537233988444,0.2726237177848816,0.34929847717285156,0.3492985665798187,0.30019351840019226
10,0.8580558734781601,0.8476247451244256,0.27789968252182007,0.38344860076904297,0.38344883918762207,0.2470734566450119
11,0.8482029529178844,0.8156929168945704,0.2907119393348694,0.38022467494010925,0.38022488355636597,0.2681359350681305
12,0.8478438100394081,0.8584254628572708,0.29392004013061523,0.3886679410934448,0.38866835832595825,0.2755706310272217
13,0.8318192254094516,0.811237211410816,0.3141525089740753,0.38138547539711,0.3813866376876831,0.3012019097805023
14,0.839745182500166,0.8278746803601583,0.3128911852836609,0.3926619291305542,0.39266207814216614,0.32557711005210876
15,0.828031215246986,0.901152274547479,0.32801592350006104,0.32453206181526184,0.32453230023384094,0.3323623239994049
16,0.8270753828918233,0.7921621967584659,0.3334587812423706,0.3978826403617859,0.39788907766342163,0.3040064871311188
17,0.8184237739619087,0.7989769012500079,0.3332047760486603,0.40449821949005127,0.4044983386993408,0.3581260144710541
18,0.8184256760513081,0.8061872873550806,0.3437543511390686,0.377626895904541,0.37762707471847534,0.28046369552612305
19,0.7933750071946313,0.8821227305974716,0.34603962302207947,0.3368139863014221,0.5768006443977356,0.3520890474319458
20,0.8139971761142506,0.8019019762674967,0.3510500192642212,0.4226033687591553,0.4226042926311493,0.335943341255188
