class,dice,iou,f1
background,0.9764339923858643,0.9539530277252197,0.9764339327812195
no_damage,0.7678561210632324,0.6231870651245117,0.7678561210632324
minor_damage,0.004308023490011692,0.0021586616057902575,0.004311474971473217
major_damage,0.1725284904241562,0.0944083034992218,0.17252862453460693
destroyed,0.7457208633422852,0.5945414304733276,0.7457209229469299
