epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,val_precision,val_recall,val_f1
1,0.5325398444363268,0.44955923529558406,0.30812693380566364,0.3815217529271924,0.2001223571138854,0.2523467130959034,0.41490296655616093,0.4976207641668098,0.3815217529271924
2,0.4583585418588398,0.4033188358988873,0.354190864415892,0.4157447215429572,0.23398469840978442,0.2842347825509171,0.5341888612439466,0.4254357048938441,0.4157447215429572
3,0.4139016891200009,0.37091727364201876,0.41774439198805313,0.4760896303625994,0.28610194968610314,0.3382335544325585,0.6348072304282077,0.4698702225158381,0.4760896303625994
4,0.38720662600736694,0.3442273022130478,0.45508505084137685,0.5202328687490418,0.31921552719217955,0.37559104173682456,0.6565046632705733,0.5021897412316744,0.5202328687490418
5,0.38069488506543914,0.3495885956772538,0.46845788648471737,0.505844423937243,0.33223461730353016,0.3611668159448823,0.535276434275993,0.5897475117167761,0.505844423937243
6,0.35643242245927875,0.39149621510228444,0.49624157844441713,0.41023581076500026,0.3568193061914113,0.27904957385603774,0.7892108226931372,0.31607636636079744,0.41023581076500026
7,0.3450947310440338,0.29943949451973273,0.5116779182326517,0.5823536594939787,0.37025562688172015,0.43518627937449966,0.6261926667634831,0.618002028312794,0.5823536594939787
8,0.33241594132696756,0.299863223419633,0.5277370434340597,0.5839206805062849,0.38643080547720116,0.43867665893116664,0.5968727634050125,0.6646190573309743,0.5839206805062849
9,0.32876487819425243,0.27848745068145353,0.5349762910895605,0.6101796717144722,0.3937446319984133,0.4625744320625483,0.6632643442514331,0.6270610010901163,0.6101796717144722
10,0.3201648265429818,0.2971098305181015,0.546583388680664,0.5928987233444701,0.4047576867254657,0.4442827193889507,0.5535048029797022,0.7216417803320774,0.5928987233444701
11,0.3155134550480119,0.29496943708076034,0.5493000224807268,0.5987961299197618,0.4063182101802838,0.4530495696289595,0.5923248271262923,0.6941794361485991,0.5987961299197618
12,0.30737187450986286,0.2682526622747266,0.5635140416784581,0.6237622430158216,0.420520015922794,0.4780545170570529,0.6450378537871116,0.6685095010108726,0.6237622430158216
13,0.3007670276652265,0.28339516700700274,0.5730646064165013,0.6007334215696468,0.4300868644122906,0.4549648723630018,0.5593149346667666,0.7347522156183109,0.6007334215696468
14,0.29517259546447844,0.31253364855466886,0.580816693201776,0.5830406983231389,0.43818513643006124,0.4400032980497493,0.7552599435628846,0.5283475916746051,0.5830406983231389
15,0.29618711060913794,0.26783491930989334,0.5770206205489397,0.6330628055472707,0.4338307996258944,0.485868634699389,0.6267607711082281,0.7021448106266731,0.6330628055472707
16,0.2911587087461452,0.26803603577752444,0.5860997890445444,0.6267863165500552,0.4433975186400058,0.4803691868518674,0.6789400348829668,0.6376429148191629,0.6267863165500552
17,0.2882899846929511,0.26807943107776866,0.5899312132275196,0.623706714011902,0.4482122902928404,0.47672156729670456,0.6444458715444388,0.6679958676876023,0.623706714011902
18,0.2825797464516598,0.24892073904359063,0.597583163405139,0.6627251710309539,0.45460355966555427,0.5194827479331993,0.7161599158547646,0.663567703477172,0.6627251710309539
19,0.2847277130021841,0.2432710969344128,0.5934713554872645,0.6611010553531869,0.45167187402134995,0.5153257178012715,0.7534245824397996,0.6257616239924764,0.6611010553531869
20,0.27316829424284417,0.25783408216612286,0.6101084812747789,0.6368950910346453,0.46713008258520483,0.4940437355706858,0.7162773009649542,0.638837896114172,0.6368950910346453
