epoch,train_loss,val_loss,train_dice,val_dice,val_macro_f1,val_rare_class_recall
1,nan,nan,0.01106937788426876,3.2599071012051617e-12,1.0000650263464195e-07,4.335746605493851e-12
2,nan,nan,0.0010627452284097672,3.2599071012051617e-12,1.0000650263464195e-07,4.335746605493851e-12
3,nan,nan,7.736511626645071e-13,3.2599071012051617e-12,1.0000650263464195e-07,4.335746605493851e-12
4,nan,nan,5.234515620435032e-13,3.2599071012051617e-12,1.0000650263464195e-07,4.335746605493851e-12
5,nan,nan,6.87257759382498e-13,3.2599071012051617e-12,1.0000650263464195e-07,4.335746605493851e-12
6,nan,nan,5.903311151543578e-13,3.2599071012051617e-12,1.0000650263464195e-07,4.335746605493851e-12
7,nan,nan,4.0885960524324194e-13,3.2599071012051617e-12,1.0000650263464195e-07,4.335746605493851e-12
8,nan,nan,6.731258345854529e-13,3.2599071012051617e-12,1.0000650263464195e-07,4.335746605493851e-12
9,nan,nan,4.770955223769302e-13,3.2599071012051617e-12,1.0000650263464195e-07,4.335746605493851e-12
