class,dice,iou,f1
background,0.9550185203552246,0.9139094948768616,0.9550185203552246
no_damage,3.2388642549202595e-14,3.2388642549202595e-14,1.0000005090660125e-07
minor_damage,5.861321410866038e-12,5.861321410866038e-12,1.0001171091289507e-07
major_damage,6.865303030928471e-12,6.865303030928471e-12,1.0001371464340991e-07
destroyed,2.8061588968307516e-13,2.8061588968307516e-13,1.0000054828651628e-07
