epoch,train_loss,val_loss,train_damage_dice,val_damage_dice,val_building_only_damage_dice,val_rare_class_recall,val_pre_building_dice,val_post_building_dice
1,9.200626412559958,8.043025334676107,0.042979054152965546,0.09680777788162231,0.1243438571691513,0.2605256140232086,0.6321414709091187,0.6147013306617737
2,7.653290041755228,6.8223239947588015,0.0638212338089943,0.04128165543079376,0.06305469572544098,0.30441492795944214,0.5946951508522034,0.5748595595359802
3,6.371382000867058,6.107863144996839,0.13301649689674377,0.034175239503383636,0.05505235865712166,0.31357890367507935,0.64229816198349,0.632045328617096
4,5.681362564423505,5.114813095484024,0.18135076761245728,0.19253507256507874,0.2599724233150482,0.30981025099754333,0.6690720319747925,0.6620944738388062
5,5.3431868174496815,4.44506050990178,0.214715376496315,0.33087193965911865,0.42783886194229126,0.26659443974494934,0.6896288990974426,0.6890323162078857
6,4.911944207023172,4.467197399873,0.24440911412239075,0.2809976041316986,0.3661664128303528,0.2591422498226166,0.6895530223846436,0.6841923594474792
7,4.746996481278363,4.376759351828159,0.2590750455856323,0.3160451352596283,0.480215847492218,0.309393048286438,0.6165580153465271,0.615801990032196
8,4.690018383194419,4.054272877864348,0.28347498178482056,0.37260279059410095,0.4494933485984802,0.2693566381931305,0.7283991575241089,0.727165937423706
9,4.421082232980167,4.220274589000604,0.29146677255630493,0.3530980348587036,0.4397312104701996,0.307375431060791,0.7415853142738342,0.7415593266487122
10,4.365516094600453,3.8747575221917567,0.30011844635009766,0.3773868680000305,0.4497504234313965,0.2942931056022644,0.7611260414123535,0.7609114646911621
11,4.323427956244525,3.8435523204314404,0.3049032390117645,0.3511773645877838,0.45385563373565674,0.3093051314353943,0.7273597121238708,0.7288765907287598
12,4.21893296101514,3.919720007823064,0.31632524728775024,0.3451222777366638,0.45819729566574097,0.3152850568294525,0.7433491945266724,0.7445508241653442
13,4.251737084108241,3.720815028899755,0.31098484992980957,0.3804200291633606,0.45645734667778015,0.3016115725040436,0.768982470035553,0.769719660282135
14,4.107562570010915,3.7816064907954288,0.3190220594406128,0.3763311505317688,0.46902793645858765,0.29845091700553894,0.7354766726493835,0.7354037761688232
15,4.030116155568291,3.898983386846689,0.3233417868614197,0.3554183840751648,0.460538387298584,0.3156573474407196,0.749891996383667,0.7504602074623108
16,3.995544195175171,3.7729985958490615,0.34254658222198486,0.359062522649765,0.46464335918426514,0.3117408752441406,0.7349316477775574,0.736700713634491
17,3.8277319094713995,3.706183121754573,0.3401971459388733,0.3550492525100708,0.46346378326416016,0.3152364194393158,0.7411519289016724,0.7426097989082336
18,3.9471203944262334,3.7102277217767177,0.3351571559906006,0.36282554268836975,0.463805228471756,0.3117977976799011,0.7417391538619995,0.7438367605209351
19,3.6510581745820887,3.6308071735577707,0.3558719754219055,0.3694554567337036,0.4688557982444763,0.3122338354587555,0.7359822392463684,0.7376827597618103
20,3.7818476648891672,3.6870286892621946,0.3531845808029175,0.3867998719215393,0.48440080881118774,0.3474399149417877,0.7562429308891296,0.7583474516868591
21,3.70081087140476,3.5980248206701035,0.37490975856781006,0.39650410413742065,0.5082163214683533,0.34794342517852783,0.7495681047439575,0.7505857348442078
22,3.728807234764099,3.5369299130562024,0.36410632729530334,0.39990824460983276,0.47423696517944336,0.31097647547721863,0.7651128172874451,0.7670389413833618
23,3.600870157690609,3.6887869651500997,0.3734844923019409,0.38512665033340454,0.4687763452529907,0.34985533356666565,0.772733211517334,0.7723812460899353
24,3.5809339733684764,3.5560675523219962,0.3920598328113556,0.4185640215873718,0.5117784738540649,0.35072335600852966,0.7508442401885986,0.7516455054283142
25,3.4861672962413115,3.563057948381473,0.39652037620544434,0.4308873414993286,0.5027389526367188,0.45781373977661133,0.7846598625183105,0.7852916717529297
26,3.5739598554723404,3.5048280312464786,0.39918678998947144,0.4440184235572815,0.5233727693557739,0.3541935682296753,0.7718454003334045,0.7732316255569458
27,3.610079306714675,3.6110770274431276,0.3832276463508606,0.40426528453826904,0.48755931854248047,0.315928190946579,0.7578165531158447,0.7594208121299744
28,3.665004343145034,3.4756230880052614,0.3952239155769348,0.46200037002563477,0.5583845376968384,0.3965773582458496,0.7686811089515686,0.7700861692428589
29,3.4968369231504552,3.4862776536207933,0.4128037095069885,0.46559298038482666,0.5453882217407227,0.41430142521858215,0.7846219539642334,0.7856494188308716
30,3.4940998841734494,3.4436709514031043,0.4003310799598694,0.4769522249698639,0.57666015625,0.4757893979549408,0.7714367508888245,0.7730521559715271
31,3.5458358063417323,3.517493669803326,0.39525526762008667,0.43070006370544434,0.5232859253883362,0.4461839199066162,0.7793449759483337,0.7799140810966492
32,3.509681853126077,3.5767232332474146,0.4219253957271576,0.4438186287879944,0.5544634461402893,0.4751710891723633,0.7343835830688477,0.7346748113632202
33,3.5143681540208704,3.4421791296738844,0.4171653687953949,0.4797070324420929,0.579921305179596,0.4585995376110077,0.7692338228225708,0.7710545659065247
34,3.33332222069011,3.429727872212728,0.46514904499053955,0.460428386926651,0.5490617156028748,0.48047852516174316,0.7750177383422852,0.7758809924125671
35,3.3178610409007354,3.3630391634427586,0.4517386555671692,0.5085052251815796,0.5885723233222961,0.45870915055274963,0.780674159526825,0.7819226980209351
36,3.286195268350489,3.454648127922645,0.4548324942588806,0.498746395111084,0.5694652199745178,0.4719482660293579,0.7953729033470154,0.7958712577819824
37,3.3113389463985667,3.3768266347738414,0.47162026166915894,0.48642680048942566,0.5799604654312134,0.48983657360076904,0.7818095684051514,0.7832613587379456
38,3.2330017580705532,3.3899078919337344,0.4596977233886719,0.49618902802467346,0.6033399105072021,0.4956552982330322,0.762172520160675,0.7634457945823669
39,3.1076282087494347,3.3984277554047413,0.4729391932487488,0.504759669303894,0.5923453569412231,0.47984814643859863,0.7752379775047302,0.7768266201019287
40,3.2581798357122085,3.4327694208194046,0.464191734790802,0.4966091513633728,0.5886363387107849,0.48046383261680603,0.772838294506073,0.7743093967437744
41,3.244510593133814,3.408849740639711,0.4982743263244629,0.4836744964122772,0.5740716457366943,0.47020742297172546,0.7723376750946045,0.7734022736549377
42,3.2017822728437535,3.4500308892665763,0.4708447754383087,0.48913443088531494,0.571307897567749,0.4825010299682617,0.7888643145561218,0.7895894646644592
43,3.1040255504495957,3.3889300395280886,0.49281153082847595,0.4960516691207886,0.5868002772331238,0.4851442873477936,0.7734586000442505,0.7745123505592346
44,3.2311500675538007,3.4088115386473827,0.47968488931655884,0.48869115114212036,0.5765001177787781,0.474951833486557,0.7751415967941284,0.7762248516082764
45,3.2473093572784872,3.3755316856579904,0.4726417660713196,0.49191176891326904,0.5828418731689453,0.4827035367488861,0.7722612619400024,0.7733796238899231
46,3.2310852885246275,3.3737087616553674,0.5147371292114258,0.49840691685676575,0.5881326794624329,0.4881773889064789,0.7801389098167419,0.7810689210891724
47,3.1736968398094176,3.3876682428213267,0.49805599451065063,0.4907127022743225,0.5884295701980591,0.4797486960887909,0.7745248675346375,0.7756245732307434
