epoch,train_loss,val_loss,train_dice,val_dice,val_macro_f1,val_rare_class_recall
1,1.4675891644814436,1.126984681838598,0.09154176712036133,0.1788226068019867,0.17882266640663147,0.1682395190000534
2,1.046355552182478,0.9747272454775296,0.14201685786247253,0.2667156159877777,0.2667157053947449,0.2340373992919922
3,0.9650071010870092,0.9471884629665277,0.18310408294200897,0.28432273864746094,0.2843228280544281,0.3035450279712677
4,0.9509805858135223,0.9034829185559199,0.2092001736164093,0.3010318875312805,0.3010319769382477,0.11122211068868637
5,0.9246656039181878,0.8604273276451306,0.22392049431800842,0.36730852723121643,0.3673086166381836,0.2272324562072754
6,0.8919425775023068,0.8781643433448596,0.24627548456192017,0.34976401925086975,0.3497640788555145,0.29158422350883484
7,0.8863717282519621,0.8490107319293878,0.25764644145965576,0.36676979064941406,0.36676985025405884,0.2972423732280731
8,0.8722429058131049,0.823658226392208,0.2660365104675293,0.36751994490623474,0.36751997470855713,0.29313138127326965
9,0.845273497875999,0.8425387755418435,0.29128921031951904,0.358290433883667,0.35829049348831177,0.3017808794975281
10,0.8445809578194338,0.8293794393539429,0.2937467694282532,0.3715481758117676,0.3715490698814392,0.2909785509109497
11,0.8399513987933889,0.8261096936005813,0.2944989800453186,0.3624197244644165,0.3624199628829956,0.31305447220802307
12,0.8262150217505062,0.8482782275248797,0.3205278217792511,0.3484329581260681,0.34843480587005615,0.3010639250278473
13,0.8210876804940841,0.8049895473015614,0.3098931312561035,0.3695312738418579,0.36953145265579224,0.30708935856819153
14,0.8248892489601584,0.8393589762540964,0.32042035460472107,0.3713226914405823,0.37132397294044495,0.3004648983478546
15,0.8371670488049002,0.7875641370430971,0.30995243787765503,0.39450228214263916,0.3945023715496063,0.3023800551891327
16,0.7921613335609436,0.7902938417899303,0.3443091809749603,0.3863084316253662,0.3863086700439453,0.3019395172595978
17,0.7853351025020375,0.7857295183035043,0.35765138268470764,0.40490037202835083,0.40490058064460754,0.3255671560764313
18,0.7911535319160012,0.7759220416729267,0.35813939571380615,0.43517979979515076,0.4351798892021179,0.34547579288482666
19,0.7861146418487325,0.7702951553540353,0.3541446626186371,0.438113808631897,0.4381139278411865,0.36500754952430725
20,0.784126283491359,0.7695501538423392,0.38020089268684387,0.4271205961704254,0.4271206259727478,0.4077833592891693
