epoch,train_loss,val_loss,train_dice,val_dice,val_macro_f1,val_rare_class_recall
1,1.47938352542765,1.1145429274974725,0.0705539658665657,0.08584246039390564,0.08584310859441757,2.7126208806294017e-05
2,1.054029042229933,1.1007066873403697,0.15524393320083618,0.1473732441663742,0.14737416803836823,0.001409627147950232
3,0.9714621196774875,0.9603306437150027,0.19628438353538513,0.32690876722335815,0.32690882682800293,0.29828161001205444
4,0.919409782746259,nan,0.23933379352092743,0.35169070959091187,0.35169076919555664,0.2903149127960205
5,0.900977342970231,nan,0.2562521696090698,0.32863569259643555,0.3286357522010803,0.19557619094848633
6,0.8671263274024514,0.8210875911590381,0.2827184200286865,0.3688555657863617,0.36885565519332886,0.2861346900463104
7,0.8887803631670335,nan,0.2782636284828186,0.33946192264556885,0.3394619822502136,0.3063661456108093
8,0.8487800748909221,nan,0.2810358703136444,0.369954377412796,0.3699544668197632,0.29862114787101746
9,0.8602178833063912,nan,0.28579992055892944,0.38455748558044434,0.38455793261528015,0.28577813506126404
10,0.8563807350747725,nan,0.2919806241989136,0.36768844723701477,0.3676886558532715,0.30264219641685486
11,0.8382555042996126,nan,0.307774156332016,0.3950856924057007,0.395085871219635,0.3365848958492279
12,0.8318878033581902,0.8229401738215716,0.3426768183708191,0.3737941384315491,0.3737942576408386,0.39492738246917725
13,0.8135456253500546,nan,0.3425767421722412,0.3793506622314453,0.37935078144073486,0.3290577232837677
14,0.8320615182904636,nan,0.3351600766181946,0.3646368384361267,0.36463698744773865,0.3413649797439575
15,nan,nan,0.34223508834838867,3.2599071012051617e-12,1.0000650263464195e-07,4.335746605493851e-12
16,nan,nan,0.2942606210708618,3.2599071012051617e-12,1.0000650263464195e-07,4.335746605493851e-12
17,nan,nan,0.2874043583869934,3.2599071012051617e-12,1.0000650263464195e-07,4.335746605493851e-12
18,nan,nan,0.28638702630996704,3.2599071012051617e-12,1.0000650263464195e-07,4.335746605493851e-12
19,nan,nan,0.22222396731376648,3.2599071012051617e-12,1.0000650263464195e-07,4.335746605493851e-12
