epoch,train_loss,val_loss,train_dice,val_dice,train_mean_iou,val_mean_iou,val_pixel_accuracy,val_macro_f1,val_dice_no_damage,val_dice_minor_damage,val_dice_major_damage,val_dice_destroyed
1,1.637766304849659,1.3083656984706258,0.11544739454984665,0.14240498840808868,0.07077710330486298,0.09955621510744095,0.9213301539421082,0.14240525662899017,0.5696095824241638,2.423537444947582e-13,1.0386400390416384e-05,2.173766537865579e-13
2,1.1289722432207632,1.0927354492420374,0.12409933656454086,0.16055981814861298,0.08251425623893738,0.11825339496135712,0.9419609904289246,0.16055992245674133,0.6422392725944519,2.423537444947582e-13,1.298355682948643e-13,2.173766537865579e-13
3,1.0546646231550791,1.012445223192836,0.13477423787117004,0.17095115780830383,0.09140153974294662,0.12597128748893738,0.9500327706336975,0.170953169465065,0.658849835395813,0.0005826912238262594,0.024372108280658722,2.173766537865579e-13
4,1.0256174542297127,1.001376256000164,0.15338613092899323,0.21421948075294495,0.10275210440158844,0.1400267630815506,0.9433738589286804,0.21422088146209717,0.5792917609214783,4.846499450650299e-06,0.21073167026042938,0.06684966385364532
5,1.0073937508624746,0.9451647199863611,0.20376548171043396,0.31005868315696716,0.1299915760755539,0.2157992422580719,0.9527797102928162,0.31005895137786865,0.675022542476654,0.05342141166329384,0.04862923547625542,0.46316155791282654
6,0.9879203650209775,0.9846667744392572,0.22678133845329285,0.24048088490962982,0.1439562737941742,0.14585751295089722,0.938232421875,0.24048113822937012,0.46670880913734436,0.034778520464897156,0.18972481787204742,0.27071142196655273
7,0.9746497503283091,0.9338549430980239,0.24301457405090332,0.3529852628707886,0.15404288470745087,0.24871933460235596,0.9513447284698486,0.35298553109169006,0.6824201345443726,0.06471920013427734,0.10649224370718002,0.5583095550537109
8,0.9652649050813101,0.908488052528958,0.25206810235977173,0.3451995849609375,0.16065151989459991,0.23651531338691711,0.9516519904136658,0.3451997637748718,0.6651957035064697,0.0384255051612854,0.18580535054206848,0.49137169122695923
9,0.9516709682874017,0.9855543964130934,0.2728635370731354,0.269288033246994,0.17497462034225464,0.16557180881500244,0.9365262985229492,0.2692883610725403,0.4634121060371399,0.024327432736754417,0.23633429408073425,0.35307827591896057
10,0.9449732956359197,0.9088240383669387,0.2796463370323181,0.37987110018730164,0.17855794727802277,0.26768314838409424,0.9536864161491394,0.3798713684082031,0.6817432641983032,0.009580259211361408,0.25216174125671387,0.5759991407394409
11,0.9362011444599279,0.8820911881535553,0.2826167345046997,0.4294462203979492,0.1816549301147461,0.30040064454078674,0.9510952830314636,0.42944636940956116,0.6765344142913818,0.10019505769014359,0.3295882046222687,0.6114672422409058
12,0.9231720255702198,0.9172916835130647,0.3059997260570526,0.3610917329788208,0.19783158600330353,0.24261382222175598,0.9492781162261963,0.3610920310020447,0.6046732068061829,0.013850205577909946,0.3142927885055542,0.5115507245063782
13,0.9260083648416867,0.8954457599063252,0.297704815864563,0.39810237288475037,0.19251520931720734,0.27813467383384705,0.9486467242240906,0.39810264110565186,0.5931441783905029,0.03624749183654785,0.2997802197933197,0.6632375717163086
14,0.914427933165837,0.8681863719640777,0.3220190405845642,0.4596068859100342,0.21028617024421692,0.332643061876297,0.9563596248626709,0.4596070945262909,0.7095423936843872,0.05098053440451622,0.424796998500824,0.6531077027320862
15,0.9131775472341895,0.9084279842154924,0.3242415189743042,0.38534390926361084,0.21136963367462158,0.2549482583999634,0.9443169236183167,0.3853440284729004,0.615318238735199,0.10711058229207993,0.3465535342693329,0.4723932445049286
16,0.8952937095514606,0.8574511471182801,0.3470633924007416,0.4042935073375702,0.22925615310668945,0.2809840440750122,0.9540672898292542,0.40429365634918213,0.6671044826507568,0.0007354702102020383,0.44979628920555115,0.4995378255844116
17,0.8909334483673762,0.841778353896252,0.34180280566215515,0.4453355073928833,0.22601282596588135,0.32120615243911743,0.9554768800735474,0.4453356862068176,0.6884374618530273,0.005235777236521244,0.45457249879837036,0.6330962777137756
18,0.8894873213951876,0.8805885800095492,0.35057902336120605,0.4236324429512024,0.23329389095306396,0.2941785454750061,0.9494302272796631,0.4236326217651367,0.5987243056297302,0.07605942338705063,0.36511093378067017,0.6546351313591003
19,0.888817767710796,0.8337697317433912,0.34893402457237244,0.48279455304145813,0.23035770654678345,0.3475399613380432,0.9562217593193054,0.4827946722507477,0.7072716355323792,0.10461566597223282,0.4701814651489258,0.6491094827651978
20,0.8773980490039737,0.8584936683954194,0.37116101384162903,0.45753759145736694,0.24897173047065735,0.32850632071495056,0.9564209580421448,0.4575377404689789,0.7162330150604248,0.05218860134482384,0.45847031474113464,0.6032584309577942
