epoch,train_loss,val_loss,train_damage_dice,val_damage_dice,val_building_only_damage_dice,val_rare_class_recall,val_pre_building_dice,val_post_building_dice
1,4.791914629936218,3.542940066410945,0.07959293574094772,0.12695349752902985,0.23182570934295654,3.835084498859942e-05,0.5374396443367004,0.49080970883369446
2,3.325272663901834,2.4298870074443326,0.1146964281797409,0.1404775232076645,0.23001952469348907,4.335746605493851e-12,0.5752723813056946,0.5383484959602356
3,2.5917679583325106,1.857754750129504,0.131478950381279,0.158503919839859,0.2229340523481369,4.335746605493851e-12,0.6192598938941956,0.6084471344947815
4,2.316582667827606,1.914741338827671,0.14051032066345215,0.13951903581619263,0.20651312172412872,8.324938244186342e-05,0.6148440837860107,0.6157074570655823
5,2.188854557626388,1.7577188198383038,0.15271422266960144,0.14081311225891113,0.23085685074329376,3.741549562619184e-06,0.61229407787323,0.6096530556678772
6,1.9929856237243204,1.6981243750987909,0.17557787895202637,0.16858382523059845,0.22268608212471008,4.335746605493851e-12,0.7344656586647034,0.7359867095947266
7,1.8639985596432405,1.5259830141678834,0.1753014177083969,0.1644120216369629,0.25233033299446106,0.013782917521893978,0.6404814720153809,0.6379222869873047
8,1.7038077610380509,1.4295005080027459,0.19559217989444733,0.30242833495140076,0.3908352553844452,0.21422873437404633,0.7100160717964172,0.7085895538330078
9,1.7035635376677793,1.3231013814608257,0.2124488204717636,0.1975751519203186,0.2556172013282776,0.020516762509942055,0.725170910358429,0.7256611585617065
10,1.6086558741681716,1.4104368411577666,0.22578217089176178,0.16685660183429718,0.23004397749900818,0.0024525828193873167,0.7355046272277832,0.740802526473999
11,1.5665490224080927,1.2885232690053108,0.24931687116622925,0.22387360036373138,0.29624706506729126,0.050449129194021225,0.7027105689048767,0.7029795050621033
12,1.4958451828535866,1.2722495060700636,0.2542988061904907,0.2262359857559204,0.2993013262748718,0.05200748145580292,0.706478476524353,0.7091025710105896
13,1.4740467376568738,1.1692244639763465,0.2403288185596466,0.35714399814605713,0.45594727993011475,0.28526851534843445,0.7398806810379028,0.7406985759735107
14,1.5016751545317033,1.1471305596522796,0.2507837116718292,0.36579275131225586,0.43534040451049805,0.2341870665550232,0.7757751941680908,0.7739086747169495
15,1.4100227496203255,1.15793312054414,0.2618449330329895,0.35515493154525757,0.46733272075653076,0.2879699170589447,0.7210504412651062,0.7217798233032227
16,1.4367304391720717,1.2149705917407305,0.27746930718421936,0.3433115780353546,0.4476149082183838,0.23729722201824188,0.7085403800010681,0.7129313945770264
17,1.460679459922454,1.2027992789561932,0.26891738176345825,0.338739812374115,0.4721693992614746,0.28806811571121216,0.7018968462944031,0.7025275826454163
18,1.3993624704725602,1.2033244126882308,0.29052549600601196,0.29186609387397766,0.38423606753349304,0.13943804800510406,0.7151191234588623,0.7181851863861084
19,1.3511643900590784,1.0816970345301506,0.28111305832862854,0.37502920627593994,0.4645288288593292,0.27783966064453125,0.7637450098991394,0.7643426060676575
20,1.3465662258512834,1.1646826343658643,0.2917206883430481,0.3409159779548645,0.4293603301048279,0.3044542074203491,0.7692969441413879,0.770035445690155
21,1.3633355522856994,1.0773021960869813,0.29039379954338074,0.37409430742263794,0.4724888205528259,0.2997604310512543,0.7503769397735596,0.7500853538513184
22,1.2722376479822046,1.1005277969898322,0.3069058060646057,0.36603736877441406,0.4711775779724121,0.29165345430374146,0.7545861601829529,0.7544304132461548
23,1.2452312620247112,1.134167804167821,0.30975237488746643,0.347811758518219,0.4747793674468994,0.305868536233902,0.7083393931388855,0.7110422849655151
24,1.2190491059247186,1.0611910376793299,0.32033294439315796,0.3783143162727356,0.46842077374458313,0.30232715606689453,0.7805388569831848,0.7810918688774109
25,1.2160580587737702,1.0937635394243093,0.31076425313949585,0.35949015617370605,0.4802689552307129,0.3010559380054474,0.721365213394165,0.7218806743621826
26,1.209874369467006,1.1102888033940241,0.30759865045547485,0.366665780544281,0.475238561630249,0.29659321904182434,0.7402019500732422,0.7400082945823669
27,1.2297512788982952,1.0339150734436817,0.3134145736694336,0.36462244391441345,0.4773560166358948,0.3023047149181366,0.7633755207061768,0.763385534286499
28,1.2048260874607983,1.0243738904977455,0.31903326511383057,0.36076483130455017,0.4775724709033966,0.3135845363140106,0.7621371150016785,0.7628480195999146
29,1.1459212099804599,0.9987070575738565,0.3276676833629608,0.36984097957611084,0.47825929522514343,0.30910494923591614,0.7669580578804016,0.7675464749336243
30,1.1659558562671437,1.0036439482982342,0.3202601671218872,0.36460304260253906,0.4782966375350952,0.3106764256954193,0.7677094340324402,0.7693922519683838
31,1.1359932836364297,1.017727942038805,0.33672577142715454,0.35617595911026,0.47338753938674927,0.313027948141098,0.7571420073509216,0.7571207284927368
32,1.1653522912193748,1.0426769653956096,0.33259204030036926,0.3553144931793213,0.47294339537620544,0.31343111395835876,0.7452481985092163,0.7444506287574768
33,1.1166471286731607,1.022999671789316,0.32950469851493835,0.3640766441822052,0.4807363748550415,0.3074287474155426,0.7444115281105042,0.745455801486969
34,1.1478090615833507,1.0255106825094957,0.33333081007003784,0.3660252094268799,0.47113245725631714,0.3087083399295807,0.7601101994514465,0.7601420879364014
35,1.104588560847675,1.0026055635550084,0.34080031514167786,0.37100690603256226,0.47761213779449463,0.3087775707244873,0.7623233199119568,0.7637051939964294
36,1.1664774919257443,1.0082911986571093,0.332935094833374,0.35781344771385193,0.461439847946167,0.31124699115753174,0.7658767104148865,0.7658187747001648
