epoch,train_loss,val_loss,train_dice,val_dice,val_macro_f1,val_rare_class_recall
1,1.4536767055006588,1.2020535805286505,0.08783325552940369,0.1766168475151062,0.17661698162555695,0.06211245432496071
2,1.0542796257664175,1.154399384290744,0.13681823015213013,0.03813650831580162,0.038136616349220276,0.30475541949272156
3,1.0044528764836929,0.9961335368645496,0.1592407524585724,0.15317049622535706,0.15317057073116302,0.2831442356109619
4,0.9797979656387777,0.9264813310060745,0.18688231706619263,0.28066757321357727,0.28066766262054443,0.23511777818202972
5,0.9458604132427889,0.9274695760164505,0.20998460054397583,0.3071056306362152,0.3071057200431824,0.26650092005729675
6,0.9226227798882652,0.9155674775441488,0.2228626012802124,0.3066474199295044,0.5532060861587524,0.30025526881217957
7,0.900107820595012,0.8562580805558425,0.24464952945709229,0.3632737398147583,0.6132152080535889,0.25581321120262146
8,0.9039171920103185,0.8551326409364358,0.2545420527458191,0.33983105421066284,0.3398827910423279,0.30063173174858093
9,0.8645706699174993,0.8717774198605464,0.288938045501709,0.34893786907196045,0.3489406704902649,0.31101521849632263
10,0.8564154411063475,0.8607391271835718,0.29361873865127563,0.37047648429870605,0.37047678232192993,0.3250178396701813
11,0.8433592400130103,0.8050371744693854,0.31485825777053833,0.3952334523200989,0.3952336013317108,0.3389573097229004
12,0.8431217312812805,0.7989763159018296,0.3041536808013916,0.4016379714012146,0.4016384482383728,0.303554505109787
13,0.8322864304570591,0.8078242922440554,0.3253633379936218,0.38275229930877686,0.3827535808086395,0.3051702678203583
14,0.8351777336176704,0.7977423071861267,0.3262181878089905,0.4187847375869751,0.640995442867279,0.36020147800445557
15,0.8391553384416244,0.793076386818519,0.31546515226364136,0.4038495421409607,0.40384960174560547,0.39745593070983887
16,0.8203381198294023,0.8223554262748132,0.34428656101226807,0.37410566210746765,0.49910205602645874,0.35784247517585754
17,0.7973874400643741,0.8198903799057007,0.35011938214302063,0.40846532583236694,0.4084658622741699,0.4190349280834198
18,0.8223723067956812,0.8046185634075067,0.33839744329452515,0.40683847665786743,0.6211134791374207,0.40770384669303894
19,0.7751700099776773,0.7867511358016577,0.37953442335128784,0.4398749768733978,0.4398754835128784,0.43247130513191223
20,0.8025993185884812,0.7736281324655582,0.3621249198913574,0.45834875106811523,0.458349347114563,0.4458504915237427
