class,dice,iou,f1
background,0.9541426301002502,0.9123067855834961,0.954142689704895
no_damage,0.6684693098068237,0.5020307302474976,0.6684693098068237
minor_damage,0.05883815884590149,0.030310794711112976,0.05883892625570297
major_damage,0.4440487027168274,0.2853872776031494,0.4440487325191498
destroyed,0.6654553413391113,0.4986385107040405,0.6654554009437561
