truth/prediction,background,no_damage,minor_damage,major_damage,destroyed
background,36894688,0,0,0,0
no_damage,3087502,0,0,0,0
minor_damage,17061,0,0,0,0
major_damage,14566,0,0,0,0
destroyed,356359,0,0,0,0
