truth/prediction,background,no_damage,minor_damage,major_damage,destroyed
background,35905756,843882,3234,2350,139466
no_damage,571248,2494013,16374,1020,4847
minor_damage,2930,13078,391,249,413
major_damage,1761,1911,570,7320,3004
destroyed,28650,2053,189,1907,323560
