epoch,train_loss,val_loss,train_accuracy,train_macro_f1,train_weighted_f1,train_precision_no_damage,train_recall_no_damage,train_f1_no_damage,train_support_no_damage,train_predicted_no_damage,train_precision_minor_damage,train_recall_minor_damage,train_f1_minor_damage,train_support_minor_damage,train_predicted_minor_damage,train_precision_major_damage,train_recall_major_damage,train_f1_major_damage,train_support_major_damage,train_predicted_major_damage,train_precision_destroyed,train_recall_destroyed,train_f1_destroyed,train_support_destroyed,train_predicted_destroyed,val_accuracy,val_macro_f1,val_weighted_f1,val_precision_no_damage,val_recall_no_damage,val_f1_no_damage,val_support_no_damage,val_predicted_no_damage,val_precision_minor_damage,val_recall_minor_damage,val_f1_minor_damage,val_support_minor_damage,val_predicted_minor_damage,val_precision_major_damage,val_recall_major_damage,val_f1_major_damage,val_support_major_damage,val_predicted_major_damage,val_precision_destroyed,val_recall_destroyed,val_f1_destroyed,val_support_destroyed,val_predicted_destroyed
1,1.1281225266081563,2.3845527214772257,0.293559730052948,0.1896795630455017,0.1886080801486969,0.25,0.0004636068479157984,0.0009254974429495633,2157.0,4.0,0.3017681837081909,0.35737553238868713,0.3272262513637543,2149.0,2545.0,0.29032257199287415,0.8259629011154175,0.42963147163391113,2103.0,5983.0,0.125,0.000469263264676556,0.0009350163745693862,2131.0,8.0,0.003921255003660917,0.0019529693527147174,3.063235999434255e-05,0.0,0.0,0.0,11136.0,0.0,0.0,0.0,0.0,68.0,0.0,0.003921255003660917,1.0,0.0078118774108588696,49.0,12496.0,0.0,0.0,0.0,1243.0,0.0
2,0.9867629826292117,2.5301961174706364,0.35901638865470886,0.23813468217849731,0.24057842791080475,0.0,0.0,0.0,2116.0,0.0,0.36221081018447876,0.6413291096687317,0.4629538357257843,2197.0,3890.0,0.356344074010849,0.7819726467132568,0.48958486318588257,2119.0,4650.0,0.0,0.0,0.0,2108.0,0.0,0.005441741552203894,0.005337606184184551,9.945085184881464e-05,0.0,0.0,0.0,11136.0,0.0,0.005256869830191135,0.3235294222831726,0.0103456387296319,68.0,4185.0,0.005534833297133446,0.9387755393981934,0.01100478507578373,49.0,8311.0,0.0,0.0,0.0,1243.0,0.0
3,0.9332299614220523,2.7624784813207737,0.3717798590660095,0.25254639983177185,0.2501687705516815,0.0,0.0,0.0,2126.0,0.0,0.36741459369659424,0.6907957792282104,0.479693740606308,2086.0,3922.0,0.37328094244003296,0.799439013004303,0.5089285969734192,2139.0,4581.0,0.6486486196517944,0.01096391025930643,0.021563341841101646,2189.0,37.0,0.006402048747986555,0.012849986553192139,0.002911520656198263,0.0,0.0,0.0,11136.0,0.0,0.007572570350021124,0.2647058963775635,0.014723926782608032,68.0,2377.0,0.004295275080949068,0.8775510191917419,0.008548707701265812,49.0,10011.0,0.17592592537403107,0.015285599045455456,0.028127312660217285,1243.0,108.0
4,0.8849846303239743,2.608489344949308,0.3911007046699524,0.27322059869766235,0.27328404784202576,0.0,0.0,0.0,2135.0,0.0,0.37379956245422363,0.7287566065788269,0.494140625,2083.0,4061.0,0.39776867628097534,0.7999083995819092,0.5313260555267334,2184.0,4392.0,0.8620689511299133,0.03507951274514198,0.06741572916507721,2138.0,87.0,0.004561459645628929,0.004391889087855816,8.161592995747924e-05,0.0,0.0,0.0,11136.0,0.0,0.004308487754315138,0.14705882966518402,0.008371703326702118,68.0,2321.0,0.004620072897523642,0.9591836929321289,0.009195852093398571,49.0,10173.0,0.0,0.0,0.0,1243.0,2.0
5,0.8613477161761081,2.3452136153760166,0.3998829126358032,0.2872326374053955,0.2837301194667816,0.5,0.006478482391685247,0.012791228480637074,2161.0,28.0,0.39478906989097595,0.7558194994926453,0.5186634063720703,2105.0,4030.0,0.3928735554218292,0.8134222030639648,0.529840350151062,2101.0,4350.0,0.7651515007019043,0.04647952318191528,0.0876355767250061,2173.0,132.0,0.021927015855908394,0.07337968051433563,0.02660636231303215,0.0,0.0,0.0,11136.0,0.0,0.0065093571320176125,0.8235294222831726,0.012916618958115578,68.0,8603.0,0.007295325398445129,0.5510203838348389,0.014399999752640724,49.0,3701.0,0.9947916865348816,0.15366050601005554,0.26620209217071533,1243.0,192.0
