epoch,train_loss,val_loss,train_accuracy,train_macro_f1,train_weighted_f1,train_precision_no_damage,train_recall_no_damage,train_f1_no_damage,train_support_no_damage,train_predicted_no_damage,train_precision_minor_damage,train_recall_minor_damage,train_f1_minor_damage,train_support_minor_damage,train_predicted_minor_damage,train_precision_major_damage,train_recall_major_damage,train_f1_major_damage,train_support_major_damage,train_predicted_major_damage,train_precision_destroyed,train_recall_destroyed,train_f1_destroyed,train_support_destroyed,train_predicted_destroyed,val_accuracy,val_macro_f1,val_weighted_f1,val_precision_no_damage,val_recall_no_damage,val_f1_no_damage,val_support_no_damage,val_predicted_no_damage,val_precision_minor_damage,val_recall_minor_damage,val_f1_minor_damage,val_support_minor_damage,val_predicted_minor_damage,val_precision_major_damage,val_recall_major_damage,val_f1_major_damage,val_support_major_damage,val_predicted_major_damage,val_precision_destroyed,val_recall_destroyed,val_f1_destroyed,val_support_destroyed,val_predicted_destroyed
1,0.894831129450923,1.9185039734520266,0.43348947167396545,0.38602855801582336,0.386104017496109,0.7647058963775635,0.07926829159259796,0.14364640414714813,2132.0,221.0,0.3519916832447052,0.6288372278213501,0.45134368538856506,2150.0,3841.0,0.4217527508735657,0.7595115303993225,0.5423444509506226,2129.0,3834.0,0.8757764101028442,0.2649131119251251,0.4067796468734741,2129.0,644.0,0.09242957830429077,0.19935300946235657,0.08624511957168579,0.98591548204422,0.006285919342190027,0.012492191977798939,11136.0,71.0,0.0050344462506473064,0.5588235259056091,0.00997899193316698,68.0,7548.0,0.010755813680589199,0.7551020383834839,0.021209515631198883,49.0,3440.0,0.7028531432151794,0.8125503063201904,0.753731369972229,1243.0,1437.0
2,0.7159672010034211,1.534924826048829,0.5400468111038208,0.5123651623725891,0.5120083689689636,0.8038869500160217,0.21113689243793488,0.3344358801841736,2155.0,566.0,0.44731494784355164,0.737320601940155,0.5568202137947083,2090.0,3445.0,0.49696969985961914,0.8363468050956726,0.6234663724899292,2157.0,3630.0,0.9032257795333862,0.3797942101955414,0.5347382426261902,2138.0,899.0,0.17141485214233398,0.23471945524215698,0.26259198784828186,0.991304337978363,0.12284483015537262,0.21860019862651825,11136.0,1380.0,0.005311264656484127,0.6323529481887817,0.010534051805734634,68.0,8096.0,0.015370705164968967,0.6938775777816772,0.030075188726186752,49.0,2212.0,0.8626237511634827,0.5607401728630066,0.6796684265136719,1243.0,808.0
3,0.5749278089750126,1.2762984827046504,0.6133489608764648,0.5900919437408447,0.5909147262573242,0.8398950099945068,0.3049071133136749,0.44739601016044617,2099.0,762.0,0.5063291192054749,0.822429895401001,0.62678062915802,2140.0,3476.0,0.5831310749053955,0.8935378789901733,0.7057095766067505,2151.0,3296.0,0.9105367660522461,0.4260465204715729,0.5804816484451294,2150.0,1006.0,0.22887323796749115,0.28215116262435913,0.34948909282684326,0.9960803389549255,0.18256106972694397,0.30856797099113464,11136.0,2041.0,0.006335445214062929,0.8382353186607361,0.012575841508805752,68.0,8997.0,0.03295128792524338,0.4693877696990967,0.06157965213060379,49.0,698.0,0.9828947186470032,0.6009653806686401,0.745881199836731,1243.0,760.0
4,0.47245897704295897,1.5417508721837532,0.6673302054405212,0.6484930515289307,0.6493889689445496,0.8483796119689941,0.3498806655406952,0.4954376518726349,2095.0,864.0,0.5448256134986877,0.8729792237281799,0.6709265112876892,2165.0,3469.0,0.6527915596961975,0.922502338886261,0.764557957649231,2142.0,3027.0,0.9322034120559692,0.5144995450973511,0.6630500555038452,2138.0,1180.0,0.28529128432273865,0.24854928255081177,0.37270790338516235,0.9903966784477234,0.21300287544727325,0.35060232877731323,11136.0,2395.0,0.0056487200781702995,0.47058823704719543,0.011163439601659775,68.0,5665.0,0.014522821642458439,0.5714285969734192,0.028325745835900307,49.0,1928.0,0.4517543911933899,0.9115044474601746,0.6041055917739868,1243.0,2508.0
5,0.396313045578503,1.4062057920181386,0.7016393542289734,0.6855268478393555,0.6863222122192383,0.8539094924926758,0.3950499892234802,0.540188729763031,2101.0,972.0,0.5685030221939087,0.8959090709686279,0.6956061124801636,2200.0,3467.0,0.7112430334091187,0.9487656950950623,0.8130113482475281,2147.0,2864.0,0.9329021573066711,0.5516252517700195,0.6933013200759888,2092.0,1237.0,0.2466389238834381,0.2762136459350586,0.34769463539123535,0.9935992360115051,0.1812140792608261,0.3065238893032074,11136.0,2031.0,0.005346199031919241,0.6029411554336548,0.010598422959446907,68.0,7669.0,0.02104499191045761,0.5918367505073547,0.04064470902085304,49.0,1378.0,0.7009872794151306,0.7996782064437866,0.7470875382423401,1243.0,1418.0
6,0.3659712653816416,1.9959265907554675,0.7318500876426697,0.7221862077713013,0.7218872308731079,0.8666070103645325,0.4467005133628845,0.5895249843597412,2167.0,1117.0,0.5786377787590027,0.9024626016616821,0.7051499485969543,2071.0,3230.0,0.7492679357528687,0.96058189868927,0.8418671488761902,2131.0,2732.0,0.9349760413169861,0.6292031407356262,0.7522026300430298,2171.0,1461.0,0.20358514785766602,0.2572941780090332,0.3026981055736542,0.9969530701637268,0.1469109207391739,0.2560851573944092,11136.0,1641.0,0.007203667424619198,0.3235294222831726,0.014093529433012009,68.0,3054.0,0.005753909703344107,0.795918345451355,0.01142522320151329,49.0,6778.0,0.8279569745063782,0.6814159154891968,0.7475728392601013,1243.0,1023.0
7,0.33932243851240207,0.9133829839070282,0.7525761127471924,0.745089054107666,0.7437667846679688,0.8816466331481934,0.47438856959342957,0.6168617010116577,2167.0,1166.0,0.6054794788360596,0.9182825684547424,0.7297743558883667,2166.0,3285.0,0.7770007848739624,0.962463915348053,0.8598452210426331,2078.0,2574.0,0.9306930899620056,0.6622827649116516,0.7738748788833618,2129.0,1515.0,0.5507362484931946,0.40332740545272827,0.6877710223197937,0.9900343418121338,0.5174209475517273,0.6796414256095886,11136.0,5820.0,0.007786885369569063,0.5588235259056091,0.015359741635620594,68.0,4880.0,0.053995680063962936,0.5102040767669678,0.09765625,49.0,463.0,0.7929482460021973,0.8503620028495789,0.820652186870575,1243.0,1333.0
8,0.28168582620468924,1.0033557024377082,0.7875878214836121,0.7791382670402527,0.780373752117157,0.9004115462303162,0.530552864074707,0.6676838397979736,2062.0,1215.0,0.654493510723114,0.9359673261642456,0.7703232765197754,2202.0,3149.0,0.8053333163261414,0.9746426939964294,0.8819357752799988,2169.0,2625.0,0.939393937587738,0.6915045380592346,0.7966101765632629,2107.0,1551.0,0.6170774698257446,0.36412984132766724,0.7299540042877197,0.991199254989624,0.5967133641242981,0.7449551820755005,11136.0,6704.0,0.014308426529169083,0.2647058963775635,0.027149321511387825,68.0,1258.0,0.011464497074484825,0.6326530575752258,0.022520886734128,49.0,2704.0,0.5557377338409424,0.8181818127632141,0.661893904209137,1243.0,1830.0
9,0.2511866796719894,0.9828054915894481,0.8107728362083435,0.8054635524749756,0.8058906197547913,0.9041487574577332,0.5898273587226868,0.7139226198196411,2143.0,1398.0,0.6737877130508423,0.9421526789665222,0.7856860160827637,2109.0,2949.0,0.8438118100166321,0.981149435043335,0.9073129296302795,2175.0,2529.0,0.924879789352417,0.7283483147621155,0.8149324655532837,2113.0,1664.0,0.6012324094772339,0.38023310899734497,0.7276222705841064,0.9923242330551147,0.5804597735404968,0.732464611530304,11136.0,6514.0,0.007620164193212986,0.19117647409439087,0.014656144194304943,68.0,1706.0,0.011587078683078289,0.6734693646430969,0.022782187908887863,49.0,2848.0,0.7023809552192688,0.806918740272522,0.7510295510292053,1243.0,1428.0
