truth/prediction,background,no_damage,minor_damage,major_damage,destroyed
background,35788493,976633,3435,3928,122199
no_damage,418746,2656931,6833,1968,3024
minor_damage,2946,12075,954,495,591
major_damage,1588,2273,674,7145,2886
destroyed,31648,955,603,2822,320331
